 pp_0028  6389353.8289520405 1907539.9368947379 9  9.5716723973822523570398335124309597e-04 
 pp_0029  6392575.595939124 1908907.4958444503 9  1.21327827955386934564996348484555710e-03 
 pp_0030  6395797.3629262075 1910275.0547941627 5  8.34222034549901808424265947650155795e-04 
 pp_0031  6399019.129913291 1911642.6137438752 5  8.43839246761640291924488899155676336e-04 
 pp_0032  6402240.896900374 1913010.1726935876 4  1.28444161679450792774848100208373580e-03 
 pp_0033  6405462.663887458 1914377.7316433 4  1.04136799155018144533157986586502375e-03 
 pp_0034  6408684.430874541 1915745.2905930125 9  1.11755153204935427438404538236227381e-03 
 pp_0035  6411906.197861625 1917112.849542725 9  9.44624374239265256203434972803734127e-04 
 pp_0036  6415127.964848709 1918480.4084924373 9  1.06566732151319840289638296582097610e-03 
 pp_0037  6418349.731835793 1919847.96744215 9  1.11956910572223278070580487764118516e-03 
 pp_0038  6421571.498822876 1921215.5263918624 9  8.65588561316525196068227820944684936e-04 
 pp_0039  6390721.387901753 1904318.1699076544 9  1.0866876727915462420848147218066515e-03 
 pp_0040  6393943.154888837 1905685.7288573668 9  1.02431137386605657438320982066670695e-03 
 pp_0041  6397164.92187592 1907053.2878070793 5  1.03444287662270541575115778698545910e-03 
 pp_0042  6400386.688863004 1908420.8467567917 5  1.03884679320649241270058116271002291e-03 
 pp_0043  6403608.455850087 1909788.4057065041 5  9.94609263114172191186379556882002362e-04 
 pp_0044  6406830.222837171 1911155.9646562166 4  1.13165961655543900223064301968634027e-03 
 pp_0045  6410051.989824254 1912523.523605929 9  1.32825619211853602173734056890452848e-03 
 pp_0046  6413273.756811338 1913891.0825556414 9  1.02416487159296136673358734725525210e-03 
 pp_0047  6416495.523798422 1915258.6415053539 9  1.00153312981146234116047732953802551e-03 
 pp_0048  6419717.290785505 1916626.2004550665 9  9.46206629684394578787276497422453758e-04 
 pp_0049  6392088.946851466 1901096.4029205707 9  8.6080963948626052634205407798617671e-04 
 pp_0050  6395310.713838549 1902463.9618702831 9  1.43417234863275010713079549162785042e-03 
 pp_0051  6398532.480825633 1903831.5208199956 5  8.59264549530149783322652279338171866e-04 
 pp_0052  6401754.247812716 1905199.079769708 5  1.29660621515027612779547006027769385e-03 
 pp_0053  6404976.0147998 1906566.6387194204 5  1.34404730649289672408941420655992260e-03 
 pp_0054  6408197.781786883 1907934.1976691328 5  1.51496042325888831577007653805821974e-03 
 pp_0055  6411419.548773967 1909301.7566188453 9  1.05747597480351914964180615186251089e-03 
 pp_0056  6414641.31576105 1910669.3155685577 9  1.08948247403228273486042176898536127e-03 
 pp_0057  6417863.082748135 1912036.8745182701 9  1.26736980330072516141848293358407318e-03 
