 "GAGE No.  810:  K,I,J Coord. =     1,  100,   38;  STREAM SEGMENT =    20;  REACH =     1 "
     "DATA: Time           Stage            Flow     Conductance        HeadDiff       Hyd.Grad."
     2.5270000E+03   1.1553819E+02   1.2066470E+04   8.9451760E+02   2.0254667E+00   1.0127334E+00
     2.5570000E+03   1.1565520E+02   2.2827287E+05   8.9451760E+02   2.1424707E+00   1.0712353E+00
     2.5880000E+03   1.1562139E+02   1.4505648E+05   8.9451760E+02   2.1086666E+00   1.0543333E+00
     2.6190000E+03   1.1624531E+02   3.5099473E+06   8.9451760E+02   2.7325807E+00   1.3662903E+00
     2.6470000E+03   1.1592046E+02   1.3187598E+06   8.9451760E+02   2.4077314E+00   1.2038657E+00
     2.6780000E+03   1.1559746E+02   9.5421840E+04   8.9451760E+02   2.0847367E+00   1.0423683E+00
     2.7080000E+03   1.1553565E+02   9.9789783E+03   8.9451760E+02   2.0229232E+00   1.0114616E+00
     2.7390000E+03   1.1553034E+02   6.2933717E+03   8.9451760E+02   2.0176127E+00   1.0088063E+00
     2.7690000E+03   1.1555162E+02   2.5818245E+04   8.9451760E+02   2.0388899E+00   1.0194449E+00
     2.8000000E+03   1.1561105E+02   1.2360609E+05   8.9451760E+02   2.0983263E+00   1.0491632E+00
     2.8310000E+03   1.1560818E+02   1.1752642E+05   8.9451760E+02   2.0954534E+00   1.0477267E+00
     2.8610000E+03   1.1556374E+02   4.1092162E+04   8.9451760E+02   2.0510144E+00   1.0255072E+00
     2.8920000E+03   1.1552844E+02   4.9023029E+03   8.9451760E+02   2.0157094E+00   1.0078547E+00
     2.9220000E+03   1.1777920E+02   2.3077725E+07   8.9451760E+02   4.2664716E+00   2.1332358E+00
     2.9530000E+03   1.1805175E+02   2.7882780E+07   8.9451760E+02   4.5390260E+00   2.2695130E+00
     2.9840000E+03   1.1967278E+02   6.3495890E+07   8.9451760E+02   6.1600490E+00   3.0800245E+00
     3.0120000E+03   1.1812170E+02   2.9176262E+07   8.9451760E+02   4.6089720E+00   2.3044860E+00
     3.0430000E+03   1.1670312E+02   7.8906406E+06   8.9451760E+02   3.1903969E+00   1.5951985E+00
     3.0730000E+03   1.1624278E+02   3.4887663E+06   8.9451760E+02   2.7300493E+00   1.3650247E+00
     3.1040000E+03   1.1555773E+02   3.2984281E+04   8.9451760E+02   2.0450043E+00   1.0225022E+00
     3.1340000E+03   1.1555585E+02   3.0748868E+04   8.9451760E+02   2.0431211E+00   1.0215605E+00
     3.1650000E+03   1.1561226E+02   1.2613524E+05   8.9451760E+02   2.0995330E+00   1.0497665E+00
     3.1960000E+03   1.1560895E+02   1.1911243E+05   8.9451760E+02   2.0962259E+00   1.0481130E+00
     3.2260000E+03   1.1557185E+02   5.2677035E+04   8.9451760E+02   2.0591230E+00   1.0295615E+00
     3.2570000E+03   1.1554677E+02   2.0145513E+04   8.9451760E+02   2.0340448E+00   1.0170224E+00
     3.2870000E+03   1.1570016E+02   3.6130971E+05   8.9451760E+02   2.1874372E+00   1.0937186E+00
     3.3180000E+03   1.1560203E+02   1.0417576E+05   8.9451760E+02   2.0893039E+00   1.0446519E+00
     3.3490000E+03   1.1889555E+02   4.5002461E+07   8.9451760E+02   5.3828244E+00   2.6914122E+00
     3.3770000E+03   1.1841759E+02   3.4893504E+07   8.9451760E+02   4.9048608E+00   2.4524304E+00
     3.4080000E+03   1.1568266E+02   3.0584085E+05   8.9451760E+02   2.1699355E+00   1.0849677E+00
     3.4380000E+03   1.1562649E+02   1.5630338E+05   8.9451760E+02   2.1137596E+00   1.0568798E+00
     3.4690000E+03   1.1553285E+02   7.9012237E+03   8.9451760E+02   2.0201263E+00   1.0100631E+00
     3.4990000E+03   1.1554027E+02   1.3913355E+04   8.9451760E+02   2.0275452E+00   1.0137726E+00
     3.5300000E+03   1.1560633E+02   1.1267914E+05   8.9451760E+02   2.0936001E+00   1.0468001E+00
     3.5610000E+03   1.1560550E+02   1.1100901E+05   8.9451760E+02   2.0927763E+00   1.0463882E+00
     3.5910000E+03   1.1558676E+02   7.5897022E+04   8.9451760E+02   2.0740335E+00   1.0370168E+00
     3.6220000E+03   1.1583927E+02   9.1134220E+05   8.9451760E+02   2.3265386E+00   1.1632693E+00
     3.6520000E+03   1.1701360E+02   1.1604113E+07   8.9451760E+02   3.5008763E+00   1.7504382E+00
     3.6830000E+03   1.1813156E+02   2.9355033E+07   8.9451760E+02   4.6188354E+00   2.3094177E+00
     3.7140000E+03   1.1840860E+02   3.4724904E+07   8.9451760E+02   4.8958686E+00   2.4479343E+00
     3.7430000E+03   1.1907297E+02   4.8995864E+07   8.9451760E+02   4.4225703E+00   2.2112851E+00
     3.7740000E+03   1.1556845E+02   4.6935856E+04   8.9451760E+02   2.0557241E+00   1.0278621E+00
     3.8040000E+03   1.1563705E+02   1.8138287E+05   8.9451760E+02   2.1243225E+00   1.0621612E+00
     3.8350000E+03   1.1553908E+02   1.2879162E+04   8.9451760E+02   2.0263562E+00   1.0131781E+00
