 "GAGE No.  809:  K,I,J Coord. =     1,   20,   30;  STREAM SEGMENT =    15;  REACH =    18 "
     "DATA: Time           Stage            Flow     Conductance        HeadDiff       Hyd.Grad."
     1.3390000E+03   4.1550469E+02   9.9523691E+04   9.3875499E+01   2.1055122E+00   1.0527561E+00
     1.3700000E+03   4.1550065E+02   9.3268436E+04   9.3875499E+01   2.1014817E+00   1.0507408E+00
     1.4000000E+03   4.1547347E+02   5.5472810E+04   9.3875499E+01   2.0743013E+00   1.0371506E+00
     1.4310000E+03   4.1552493E+02   1.3333709E+05   9.3875499E+01   2.1257525E+00   1.0628763E+00
     1.4610000E+03   4.1793424E+02   1.9910322E+07   9.3875499E+01   4.5350671E+00   2.2675336E+00
     1.4920000E+03   4.1665115E+02   6.1435785E+06   9.3875499E+01   3.2519751E+00   1.6259875E+00
     1.5230000E+03   4.1711924E+02   1.0431306E+07   9.3875499E+01   3.7200690E+00   1.8600345E+00
     1.5510000E+03   4.1619389E+02   2.8803622E+06   9.3875499E+01   2.7947150E+00   1.3973575E+00
     1.5820000E+03   4.1687109E+02   8.0457437E+06   9.3875499E+01   3.4719141E+00   1.7359570E+00
     1.6120000E+03   4.1557322E+02   2.2919191E+05   9.3875499E+01   2.1740464E+00   1.0870232E+00
     1.6430000E+03   4.1544231E+02   2.2416189E+04   9.3875499E+01   2.0431408E+00   1.0215704E+00
     1.6730000E+03   4.1545044E+02   2.9888195E+04   9.3875499E+01   2.0512684E+00   1.0256342E+00
     1.7040000E+03   4.1548810E+02   7.4839814E+04   9.3875499E+01   2.0889256E+00   1.0444628E+00
