         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT      RURWELLS_IN     RURWELLS_OUT      MNIWELLS_IN     MNIWELLS_OUT           GHB_IN          GHB_OUT           RCH_IN          RCH_OUT           DRT_IN          DRT_OUT           SFR_IN          SFR_OUT          MNW2_IN         MNW2_OUT     FMP_WELLS_IN    FMP_WELLS_OUT       FMP_FNR_IN      FMP_FNR_OUT         IN_OUT  PERCENT_ERROR
1972-01-01T00:00:00    26     1           31.0          792.0     211397.25152     4.3571559E+6              0.0              0.0              0.0        38780.432              0.0      63251.50680       3628.49343              0.0      30088.06470              0.0              0.0     124695.24837     1.3804226E+6     207891.34600    2.0107455E-10    1.1263704E-10              0.0              0.0     3.9007232E+6     734703.20761      217.99712      0.0039447
1972-02-01T00:00:00    27     1           29.0          821.0     230815.79784     2.6616457E+6              0.0              0.0              0.0        41454.869              0.0      63251.50680       3633.60329              0.0      30088.06470              0.0              0.0     104611.88348     1.0674127E+6     211919.35653    7.4700407E-11    1.6222282E-10              0.0      89347.51173     2.7204549E+6     880684.71213      510.46181      0.0125957
1972-03-01T00:00:00    28     1           31.0          852.0     5.4230390E+6     161801.45497              0.0              0.0              0.0        38780.432              0.0      63251.50680       3805.65592              0.0      30088.06470              0.0              0.0        474.33531     1.1116646E+6     113786.97557    5.4231842E-11    7.7415425E-11              0.0     6.5054048E+6     535671.31669     220789.54278     20.3851885   2.8694240E-4
1972-04-01T00:00:00    29     1           30.0          882.0     2.0651214E+6     360533.94449              0.0              0.0              0.0        47799.876              0.0      63251.50680       3984.10695              0.0      30088.06470              0.0              0.0       2804.33042     627048.80821     123883.37092    1.2783145E-10    1.0453665E-10              0.0     2.5099424E+6     553963.93934     172769.77283      778.85211      0.0237412
1972-05-01T00:00:00    30     1           31.0          913.0     4.1574842E+6      43198.36068              0.0              0.0              0.0        65098.374              0.0      63251.50680       4224.44696              0.0      30088.06470              0.0              0.0        325.32991     1.0493197E+6      88826.86082    1.6733332E-10    1.6705046E-10              0.0     5.3959804E+6     576599.27749     161421.59018      386.73898      0.0066474
1972-06-01T00:00:00    31     1           30.0          943.0     2.2818026E+6     721933.49435              0.0              0.0              0.0        84691.388              0.0      63251.50680       4451.96671              0.0      30088.06470              0.0              0.0        179.25816     275375.52396      75521.45344    1.4016329E-10    1.2700777E-10              0.0     1.7191582E+6     221898.46998     148991.03018      109.71165      0.0038992
1972-07-01T00:00:00    32     1           31.0          974.0     3.5951405E+6      86969.11684              0.0              0.0              0.0        93102.266              0.0      63251.50680       4686.93059              0.0      30088.06470              0.0              0.0              0.0     668879.82087      66726.57707    2.0602424E-10    1.4143162E-10              0.0     4.2460688E+6     398932.09113     141739.03664      129.95148      0.0027662
1972-08-01T00:00:00    33     1           31.0         1005.0     3.4039433E+6      36671.99215              0.0              0.0              0.0        93542.315              0.0      63251.50680       4924.12851              0.0      30088.06470              0.0              0.0              0.0     618314.62626      65484.50817    2.7163158E-10    1.6068868E-10              0.0     4.1450660E+6     477339.50491     130887.46065      294.16671      0.0064869
1972-09-01T00:00:00    34     1           30.0         1035.0     2.0120792E+6     560752.14128              0.0              0.0              0.0        87418.516              0.0      63251.50680       5146.42116              0.0      30088.06470              0.0              0.0              0.0     287688.23161      64817.27607    1.8657599E-10    2.5271063E-10              0.0     1.5836555E+6     147642.19123     123037.04679      287.93011      0.0115970
1972-10-01T00:00:00    35     1           31.0         1066.0     839857.81536     3.0148045E+6              0.0              0.0              0.0        67077.632              0.0      63251.50680       5297.88622              0.0      30088.06470              0.0              0.0       3289.84479     1.7563409E+6      65367.11576    2.0817256E-10    1.9517174E-10              0.0         1556.895     697770.35094     114217.07032      209.63585      0.0062964
