,Station Name,station_no,Site,Easting,Northing,Latitude,Longitude,rasterelevation,slope,Simple_Bou,Complete_B,isostatic,Geol_Krig,Depth,i,j,zone,num_meas
91,Son0114,SV-L13-04,SON,6425081.115,1870714.736,38.298,-122.476,104.600,0.345,-0.457,-0.553,-1.031,1,Shallow,120,40,CitySon,22
92,Son0115,SV-L13-05,SON,6426850.138,1869083.601,38.294,-122.470,89.400,0.476,-0.464,-0.572,-1.048,1,Shallow,124,42,CitySon,54
93,Son0120,SV-L14-01,SON,6425573.588,1865166.019,38.283,-122.474,69.690,1.761,-0.446,-0.566,-1.137,1,Deep,130,37,SouthCent,32
94,Son0123,SV-M11-02,SON,6427049.921,1880979.351,38.326,-122.469,847.290,3.515,-0.466,-0.461,-0.829,0,Deep,102,52,Highlands,10
95,Son0124,SV-M12-01,SON,6427212.000,1876707.000,38.315,-122.469,184.090,4.063,-0.491,-0.534,-0.935,0,Shallow,110,49,Highlands,20
96,Son0125,SV-M12-03,SON,6428078.000,1877510.000,38.317,-122.466,224.750,1.609,-0.489,-0.519,-0.914,0,Deep,110,51,Highlands,21
97,Son0126,SV-M13-01,SON,6430322.000,1869898.000,38.296,-122.458,95.000,0.274,-0.475,-0.574,-0.998,1,Deep,125,49,CitySon,53
98,Son0127,SV-M13-02,SON,6430983.000,1869505.000,38.295,-122.455,95.000,0.343,-0.477,-0.578,-1.006,1,Shallow,127,50,CitySon,28
99,Son0128,SV-M13-03,SON,6431465.000,1869894.000,38.296,-122.454,98.000,0.148,-0.474,-0.571,-0.989,1,Deep,126,51,CitySon,38
100,Son0129,SV-M13-04,SON,6430405.000,1871199.000,38.299,-122.457,120.000,1.303,-0.471,-0.558,-0.963,1,Deep,123,50,Highlands,27
101,Son0131,SV-M13-06,SON,6427219.530,1868662.423,38.292,-122.468,80.010,0.393,-0.467,-0.577,-1.055,1,Shallow,125,42,CitySon,7
102,Son0132,SV-M13-07,SON,6427696.321,1868637.934,38.292,-122.467,78.910,0.263,-0.470,-0.580,-1.052,1,Shallow,126,43,CitySon,21
103,Son0133,SV-M13-08,SON,6427680.490,1868550.833,38.292,-122.467,79.570,0.436,-0.470,-0.581,-1.055,1,Shallow,126,43,CitySon,5
104,Son0134,SV-M13-09,SON,6429775.732,1868365.899,38.292,-122.460,82.500,0.084,-0.481,-0.593,-1.051,1,Shallow,128,47,CitySon,80
105,Son0135,SV-M13-10,SON,6429400.272,1868360.840,38.292,-122.461,80.400,0.247,-0.480,-0.592,-1.052,1,Shallow,127,46,CitySon,48
106,Son0136,SV-M13-11,SON,6430449.949,1867912.916,38.290,-122.457,79.200,0.157,-0.488,-0.603,-1.069,1,Shallow,129,48,CitySon,71
107,Son0137,SV-M13-12,SON,6429998.995,1867907.660,38.290,-122.459,79.200,0.338,-0.486,-0.601,-1.069,1,Shallow,129,47,CitySon,4
108,Son0138,SV-M13-13,SON,6430712.091,1867890.092,38.290,-122.456,79.900,0.406,-0.490,-0.604,-1.070,1,Shallow,129,48,CitySon,34
109,Son0139,SV-M13-14,SON,6432133.245,1869447.922,38.295,-122.451,100.330,0.390,-0.476,-0.575,-0.997,1,Shallow,128,52,CitySon,10
110,Son0145,SV-M14-02,SON,6431397.822,1864396.468,38.281,-122.454,65.580,0.484,-0.532,-0.664,-1.224,1,Shallow,136,47,SouthCent,20
111,Son0146,SV-M14-03,SON,6429344.661,1862615.596,38.276,-122.461,52.980,0.348,-0.509,-0.643,-1.250,1,Shallow,138,42,SouthCent,44
112,Son0147,SV-M14-05,SON,6429747.210,1862493.542,38.276,-122.460,53.500,0.290,-0.516,-0.650,-1.259,1,Shallow,138,42,SouthCent,39
113,Son0152,SV-M15-01,SON,6430476.000,1860016.000,38.269,-122.457,46.510,0.947,-0.510,-0.647,-1.302,1,Shallow,144,42,SouthCent,35
114,Son0154,SV-M15-03,SON,6428318.718,1861571.216,38.273,-122.464,53.100,0.272,-0.484,-0.617,-1.251,1,Deep,139,39,SouthCent,23
115,Son0155,SV-M15-04,SON,6432013.057,1860817.153,38.271,-122.452,45.830,0.086,-0.541,-0.681,-1.312,1,Shallow,143,45,SouthCent,15
116,Son0157,SV-M17-01,SON,6429418.604,1848109.565,38.236,-122.460,22.370,0.162,-0.153,-0.256,-0.992,1,Shallow,165,30,WestSide,28
117,Son0158,SV-M17-02,SON,6429287.726,1848102.949,38.236,-122.461,21.350,0.195,-0.147,-0.249,-0.985,1,Shallow,165,30,WestSide,48
118,Son0159,SV-M18-01,SON,6429813.000,1846206.000,38.231,-122.459,15.320,0.251,-0.097,-0.195,-0.929,1,Shallow,169,30,WestSide,5
119,Son0160,SV-M18-02,SON,6429756.001,1842776.296,38.221,-122.459,21.140,0.253,0.037,-0.048,-0.787,1,Shallow,175,27,WestSide,56
120,Son0161,SV-M18-03,SON,6430433.710,1844463.852,38.226,-122.457,12.430,0.170,-0.060,-0.156,-0.893,1,Shallow,172,29,WestSide,17
121,Son0162,SV-M18-05,SON,6430849.656,1843192.757,38.223,-122.455,13.107,0.118,-0.035,-0.130,-0.869,1,Shallow,175,29,WestSide,27
122,Son0164,SV-N12-01,SON,6434448.000,1876011.000,38.313,-122.443,334.240,3.970,-0.400,-0.423,-0.731,0,Deep,117,61,Highlands,17
123,Son0166,SV-N13-01,SON,6435459.000,1868756.000,38.293,-122.440,112.360,0.084,-0.456,-0.554,-0.955,1,Deep,131,58,CitySon,35
124,Son0167,SV-N13-02,SON,6435666.509,1867696.604,38.290,-122.439,103.380,0.164,-0.472,-0.579,-1.005,1,Deep,134,57,EastSide,79
125,Son0168,SV-N13-04,SON,6432918.944,1869354.577,38.294,-122.449,101.320,0.282,-0.473,-0.571,-0.988,1,Shallow,128,53,CitySon,12
126,Son0169,SV-N13-06,SON,6432780.000,1870825.000,38.298,-122.449,159.720,3.493,-0.461,-0.545,-0.936,1,Deep,126,54,CitySon,53
127,Son0170,SV-N13-07,SON,6432273.935,1870445.418,38.297,-122.451,194.940,1.219,-0.467,-0.557,-0.959,1,Deep,126,53,CitySon,10
128,Son0171,SV-N13-08,SON,6436398.000,1870473.000,38.298,-122.436,135.370,0.515,-0.412,-0.492,-0.835,1,Deep,129,61,CitySon,11
129,Son0172,SV-N13-09,SON,6436935.049,1869867.000,38.296,-122.435,132.640,0.387,-0.411,-0.497,-0.845,1,Deep,131,61,CitySon,8
130,Son0174,SV-N14-02,SON,6436599.131,1863818.070,38.279,-122.436,72.060,0.302,-0.531,-0.662,-1.173,1,Deep,141,56,EastSide,26
131,Son0175,SV-N14-03,SON,6434150.882,1867324.558,38.289,-122.444,94.670,0.371,-0.494,-0.607,-1.064,1,Shallow,133,54,EastSide,2
132,Son0176,SV-N15-02,SON,6432580.437,1861034.451,38.272,-122.450,46.160,0.543,-0.549,-0.689,-1.312,1,Shallow,143,46,SouthCent,289
133,Son0177,SV-N15-03,SON,6434207.214,1857650.731,38.262,-122.444,35.770,0.677,-0.543,-0.685,-1.353,1,Deep,151,47,SouthCent,48
134,Son0179,SV-N16-03,SON,6434979.987,1852293.251,38.248,-122.441,20.600,0.768,-0.475,-0.613,-1.344,1,Shallow,161,44,SouthCent,17
135,Son0180,SV-N16-05,SON,6436461.411,1856866.849,38.260,-122.436,30.920,0.296,-0.565,-0.710,-1.376,1,Deep,154,50,SouthCent,39
136,Son0183,SV-O11-01,SON,6440764.000,1879204.000,38.322,-122.421,1217.820,1.702,-0.137,-0.121,-0.158,0,Deep,116,76,Highlands,20
137,Son0184,SV-O11-02,SON,6440174.000,1878717.000,38.320,-122.423,1173.850,1.812,-0.168,-0.156,-0.227,0,Deep,117,74,Highlands,19
138,Son0185,SV-O11-03,SON,6441677.000,1879861.000,38.323,-122.418,1187.370,8.098,-0.091,-0.068,-0.055,0,Deep,116,78,Highlands,18
139,Son0186,SV-O12-01,SON,6438599.000,1877123.000,38.316,-122.429,730.710,4.780,-0.253,-0.259,-0.419,0,Deep,118,70,Highlands,7
140,Son0187,SV-O12-02,SON,6438294.000,1877841.000,38.318,-122.430,772.460,2.715,-0.251,-0.249,-0.404,0,Deep,117,70,Highlands,13
141,Son0188,SV-O14-01,SON,6437850.536,1865106.057,38.283,-122.431,91.270,0.059,-0.493,-0.614,-1.074,1,Deep,140,59,EastSide,133
142,Son0189,SV-O15-01,SON,6442039.000,1858063.000,38.264,-122.417,72.800,0.448,-0.580,-0.722,-1.320,1,Deep,156,61,EastSide,38
143,Son0191,SV-O17-01,SON,6441349.797,1850915.133,38.244,-122.419,23.710,0.075,-0.608,-0.761,-1.497,1,Shallow,169,54,SouthCent,23
144,Son0192,SV-P13-01,SON,6445096.747,1870949.808,38.299,-122.406,650.070,1.352,-0.191,-0.257,-0.424,0,Deep,135,77,Highlands,15
145,Son0193,SV-Q18-01,SON,6452890.166,1844054.400,38.225,-122.379,51.690,0.451,-0.876,-1.056,-1.871,1,Deep,191,70,EastSide,70
146,Son0201,382445122324901,SON,6404942.425,1912568.594,38.413,-122.547,410.000,0.396,-0.150,-0.137,-0.118,1,Shallow,27,36,Kenwood,1
147,Son0224,382056122300501,SON,6417838.817,1889283.341,38.349,-122.502,210.000,1.487,-0.048,-0.026,-0.173,0,Shallow,80,41,VOM,1
148,Son0235,381952122291201,SON,6421996.812,1882789.343,38.331,-122.487,263.000,1.366,-0.381,-0.389,-0.719,1,Shallow,95,44,Highlands,1
149,Son0265,381357122271801,SON,6430909.050,1846880.769,38.233,-122.455,10.000,0.279,-0.171,-0.278,-1.015,1,Shallow,168,32,WestSide,1
150,Son0267,381313122271601,SON,6431070.183,1842408.529,38.220,-122.455,10.000,0.213,-0.019,-0.113,-0.856,1,Shallow,177,29,WestSide,1
151,Son0277,381452122264801,SON,6433072.295,1852342.650,38.248,-122.448,18.261,0.309,-0.422,-0.554,-1.285,1,Shallow,160,40,SouthCent,156
152,Son0279,381509122264801,SON,6433398.156,1854090.468,38.252,-122.447,20.000,0.714,-0.470,-0.607,-1.324,1,Shallow,157,42,SouthCent,1
153,Son0286,381444122262101,SON,6435472.188,1851602.873,38.246,-122.439,10.000,0.480,-0.474,-0.613,-1.349,1,Shallow,163,44,SouthCent,1
154,Son0288,381700122261401,SON,6435847.238,1865277.660,38.283,-122.438,85.000,0.234,-0.514,-0.638,-1.127,1,Shallow,138,56,EastSide,246
155,Son0315,SV-MW2-52,SON,6427141.840,1858847.879,38.265,-122.469,45.200,0.238,-0.423,-0.549,-1.247,1,Shallow,143,35,SouthCent,107
156,Son0316,SV-MW2-100,SON,6427149.617,1858850.984,38.265,-122.468,45.430,0.250,-0.423,-0.549,-1.247,1,Shallow,143,35,SouthCent,116
157,Son0317,SV-MW2-220,SON,6427150.032,1858851.429,38.265,-122.468,45.420,0.251,-0.423,-0.549,-1.247,1,Deep,143,35,SouthCent,118
158,Son0318,SV-MW2-409,SON,6427149.700,1858851.375,38.265,-122.468,45.420,0.251,-0.423,-0.549,-1.247,1,Deep,143,35,SouthCent,93
159,Son0319,SV-MW2-480,SON,6427149.953,1858851.040,38.265,-122.468,45.410,0.250,-0.423,-0.549,-1.247,1,Deep,143,35,SouthCent,112
160,Son0320,SV-MW2-SW,SON,6427442.844,1858955.672,38.266,-122.467,23.070,4.952,-0.432,-0.559,-1.253,1,Shallow,143,35,SouthCent,24
161,Son0321,SV-MW1-95,SON,6434681.583,1855125.749,38.255,-122.442,22.830,0.568,-0.518,-0.659,-1.360,1,Shallow,156,45,SouthCent,119
162,Son0322,SV-MW1-233,SON,6434681.626,1855125.340,38.255,-122.442,22.830,0.569,-0.518,-0.659,-1.360,1,Deep,156,45,SouthCent,42
163,Son0323,SV-MW1-365,SON,6434681.929,1855125.604,38.255,-122.442,22.830,0.571,-0.518,-0.659,-1.360,1,Deep,156,45,SouthCent,39
164,Son0324,SV-MW1-455,SON,6434681.351,1855125.550,38.255,-122.442,22.830,0.566,-0.518,-0.659,-1.360,1,Deep,156,45,SouthCent,30
165,Son0328,SCWA_7th-Street,SON,6435207.610,1864220.467,38.280,-122.441,71.180,0.160,-0.535,-0.666,-1.190,1,Deep,140,54,EastSide,38
166,Son0331,SV-MON-92,SON,6420017.050,1871210.893,38.299,-122.494,118.300,0.288,-0.354,-0.433,-0.961,1,Shallow,115,31,AguaCal,69
167,Son0332,SCWA_K15-2,SON,6417633.000,1861723.000,38.273,-122.502,115.600,0.423,-0.134,-0.211,-0.882,1,Deep,130,19,WestSide,74
168,Son0333,SV-MON-1S,SON,6427939.068,1872071.526,38.302,-122.466,106.440,0.521,-0.470,-0.554,-0.963,1,Shallow,119,46,CitySon,24
169,Son0334,SV-MON-1D,SON,6427935.823,1872054.426,38.302,-122.466,106.060,0.508,-0.470,-0.555,-0.964,1,Shallow,119,46,CitySon,29
170,Son0335,SV-MON-2S,SON,6428373.167,1871713.493,38.301,-122.464,111.750,0.268,-0.471,-0.557,-0.968,1,Shallow,120,47,CitySon,29
171,Son0336,SV-MON-3S,SON,6427748.635,1871592.868,38.300,-122.467,101.470,0.333,-0.469,-0.558,-0.976,1,Shallow,120,46,CitySon,28
