parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,j,zone,x,y
drn_k_i:129_j:66_zone:9,log,factor,1336.59,10.0,10000.0,drn_k,1.0,0.0,1,129,66,9,6438863.11608148,1871521.4626358969
drn_k_i:129_j:73_zone:9,log,factor,1253.67,10.0,10000.0,drn_k,1.0,0.0,1,129,73,9,6442084.883068563,1872889.0215856093
drn_k_i:129_j:80_zone:9,log,factor,982.486,10.0,10000.0,drn_k,1.0,0.0,1,129,80,9,6445306.650055647,1874256.5805353215
drn_k_i:136_j:10_zone:7,log,factor,971.834,10.0,10000.0,drn_k,1.0,0.0,1,136,10,7,6414456.539134524,1857359.2240511137
drn_k_i:136_j:17_zone:7,log,factor,974.545,10.0,10000.0,drn_k,1.0,0.0,1,136,17,7,6417678.306121607,1858726.783000826
drn_k_i:136_j:24_zone:7,log,factor,1031.19,10.0,10000.0,drn_k,1.0,0.0,1,136,24,7,6420900.073108691,1860094.3419505383
drn_k_i:136_j:31_zone:3,log,factor,1365.52,10.0,10000.0,drn_k,1.0,0.0,1,136,31,3,6424121.840095774,1861461.900900251
drn_k_i:136_j:38_zone:3,log,factor,1570.28,10.0,10000.0,drn_k,1.0,0.0,1,136,38,3,6427343.607082858,1862829.4598499637
drn_k_i:136_j:3_zone:9,log,factor,1148.42,10.0,10000.0,drn_k,1.0,0.0,1,136,3,9,6411234.77214744,1855991.6651014013
drn_k_i:136_j:45_zone:3,log,factor,1292.22,10.0,10000.0,drn_k,1.0,0.0,1,136,45,3,6430565.374069941,1864197.018799676
drn_k_i:136_j:52_zone:2,log,factor,1164.65,10.0,10000.0,drn_k,1.0,0.0,1,136,52,2,6433787.141057025,1865564.5777493883
drn_k_i:136_j:59_zone:2,log,factor,708.004,10.0,10000.0,drn_k,1.0,0.0,1,136,59,2,6437008.908044109,1866932.1366991007
drn_k_i:136_j:66_zone:2,log,factor,1020.12,10.0,10000.0,drn_k,1.0,0.0,1,136,66,2,6440230.675031193,1868299.6956488132
drn_k_i:136_j:73_zone:9,log,factor,1405.35,10.0,10000.0,drn_k,1.0,0.0,1,136,73,9,6443452.442018276,1869667.2545985256
drn_k_i:143_j:10_zone:7,log,factor,882.582,10.0,10000.0,drn_k,1.0,0.0,1,143,10,7,6415824.098084236,1854137.45706403
drn_k_i:143_j:17_zone:7,log,factor,1209.01,10.0,10000.0,drn_k,1.0,0.0,1,143,17,7,6419045.865071319,1855505.0160137424
drn_k_i:143_j:24_zone:7,log,factor,821.302,10.0,10000.0,drn_k,1.0,0.0,1,143,24,7,6422267.6320584025,1856872.5749634549
drn_k_i:143_j:31_zone:7,log,factor,1547.24,10.0,10000.0,drn_k,1.0,0.0,1,143,31,7,6425489.399045486,1858240.1339131675
drn_k_i:143_j:38_zone:3,log,factor,1466.15,10.0,10000.0,drn_k,1.0,0.0,1,143,38,3,6428711.1660325695,1859607.69286288
drn_k_i:143_j:45_zone:3,log,factor,1071.21,10.0,10000.0,drn_k,1.0,0.0,1,143,45,3,6431932.933019653,1860975.251812592
drn_k_i:143_j:52_zone:2,log,factor,1251.98,10.0,10000.0,drn_k,1.0,0.0,1,143,52,2,6435154.700006736,1862342.8107623048
drn_k_i:143_j:59_zone:2,log,factor,1242.21,10.0,10000.0,drn_k,1.0,0.0,1,143,59,2,6438376.466993821,1863710.369712017
drn_k_i:143_j:66_zone:2,log,factor,1290.58,10.0,10000.0,drn_k,1.0,0.0,1,143,66,2,6441598.233980904,1865077.9286617297
drn_k_i:143_j:73_zone:9,log,factor,616.379,10.0,10000.0,drn_k,1.0,0.0,1,143,73,9,6444820.000967988,1866445.487611442
drn_k_i:150_j:10_zone:9,log,factor,1150.12,10.0,10000.0,drn_k,1.0,0.0,1,150,10,9,6417191.657033948,1850915.6900769465
drn_k_i:150_j:17_zone:7,log,factor,1370.85,10.0,10000.0,drn_k,1.0,0.0,1,150,17,7,6420413.424021032,1852283.249026659
