 "GAGE No.  810:  K,I,J Coord. =     1,  100,   38;  STREAM SEGMENT =    20;  REACH =     1 "
     "DATA: Time           Stage            Flow     Conductance        HeadDiff       Hyd.Grad."
     3.7430000E+03   1.1855677E+02   3.7742195E+07   1.2809371E+02   5.0440464E+00   2.5220232E+00
     3.7740000E+03   1.1618767E+02   3.0691823E+06   1.2809371E+02   2.6749444E+00   1.3374722E+00
     3.8040000E+03   1.1631617E+02   4.1022093E+06   1.2809371E+02   2.8034409E+00   1.4017204E+00
     3.8350000E+03   1.1577875E+02   6.4982312E+05   1.2809371E+02   2.2660240E+00   1.1330120E+00
     3.8650000E+03   1.1570866E+02   3.8992100E+05   1.2809371E+02   2.1959282E+00   1.0979641E+00
     3.8960000E+03   1.1567216E+02   2.7686006E+05   1.2809371E+02   2.1594356E+00   1.0797178E+00
     3.9270000E+03   1.1562515E+02   1.5403908E+05   1.2809371E+02   2.1124243E+00   1.0562122E+00
     3.9570000E+03   1.1563195E+02   1.6987800E+05   1.2809371E+02   2.1192235E+00   1.0596117E+00
     3.9880000E+03   1.1579520E+02   7.1807747E+05   1.2809371E+02   2.2824706E+00   1.1412353E+00
     4.0180000E+03   1.1586794E+02   1.0515549E+06   1.2809371E+02   2.3552120E+00   1.1776060E+00
     4.0490000E+03   1.1756965E+02   1.9619510E+07   1.2809371E+02   4.0569203E+00   2.0284602E+00
     4.0800000E+03   1.1796820E+02   2.6371595E+07   1.2809371E+02   4.4554754E+00   2.2277377E+00
     4.1080000E+03   1.1660741E+02   6.8620167E+06   1.2809371E+02   3.0946853E+00   1.5473427E+00
     4.1390000E+03   1.1669233E+02   7.7884153E+06   1.2809371E+02   3.1795986E+00   1.5897993E+00
     4.1690000E+03   1.1576199E+02   5.8324196E+05   1.2809371E+02   2.2492679E+00   1.1246339E+00
     4.2000000E+03   1.1582075E+02   8.2927491E+05   1.2809371E+02   2.3080274E+00   1.1540137E+00
     4.2300000E+03   1.1561624E+02   1.3420031E+05   1.2809371E+02   2.1035152E+00   1.0517576E+00
     4.2610000E+03   1.1563292E+02   1.7229114E+05   1.2809371E+02   2.1201888E+00   1.0600944E+00
     4.2920000E+03   1.1562518E+02   1.5412047E+05   1.2809371E+02   2.1124553E+00   1.0562276E+00
     4.3220000E+03   1.1575665E+02   5.6186683E+05   1.2809371E+02   2.2439247E+00   1.1219623E+00
     4.3530000E+03   1.1654086E+02   6.1866481E+06   1.2809371E+02   3.0281295E+00   1.5140647E+00
     4.3830000E+03   1.1821997E+02   3.1035425E+07   1.2809371E+02   4.7072473E+00   2.3536236E+00
     4.4140000E+03   1.1855126E+02   3.7624862E+07   1.2809371E+02   5.0385291E+00   2.5192645E+00
     4.4450000E+03   1.1810639E+02   2.8914700E+07   1.2809371E+02   4.5936677E+00   2.2968338E+00
     4.4730000E+03   1.1755032E+02   1.9335009E+07   1.2809371E+02   4.0375883E+00   2.0187942E+00
     4.5040000E+03   1.1769623E+02   2.1705205E+07   1.2809371E+02   4.1835050E+00   2.0917525E+00
     4.5340000E+03   1.1722939E+02   1.4528302E+07   1.2809371E+02   3.7166585E+00   1.8583293E+00
     4.5650000E+03   1.1562580E+02   1.5554848E+05   1.2809371E+02   2.1130755E+00   1.0565378E+00
     4.5950000E+03   1.1566035E+02   2.4309361E+05   1.2809371E+02   2.1476207E+00   1.0738103E+00
     4.6260000E+03   1.1563261E+02   1.7148431E+05   1.2809371E+02   2.1198810E+00   1.0599405E+00
     4.6570000E+03   1.1563068E+02   1.6693564E+05   1.2809371E+02   2.1179504E+00   1.0589752E+00
     4.6870000E+03   1.1599013E+02   1.7238087E+06   1.2809371E+02   2.4773995E+00   1.2386997E+00
     4.7180000E+03   1.1667340E+02   7.5727781E+06   1.2809371E+02   3.1606736E+00   1.5803368E+00
     4.7480000E+03   1.1809226E+02   2.8641922E+07   1.2809371E+02   4.5795317E+00   2.2897658E+00
     4.7790000E+03   1.1733253E+02   1.6006609E+07   1.2809371E+02   3.8198064E+00   1.9099032E+00
     4.8100000E+03   1.1840026E+02   3.4558160E+07   1.2809371E+02   4.8875369E+00   2.4437685E+00
     4.8380000E+03   1.1886098E+02   4.4246202E+07   1.2809371E+02   5.3482502E+00   2.6741251E+00
     4.8690000E+03   1.1901152E+02   4.7597654E+07   1.2809371E+02   5.4987957E+00   2.7493979E+00
     4.8990000E+03   1.1691630E+02   1.0389444E+07   1.2809371E+02   3.4035731E+00   1.7017866E+00
     4.9300000E+03   1.1585730E+02   1.0000560E+06   1.2809371E+02   2.3445722E+00   1.1722861E+00
     4.9600000E+03   1.1564308E+02   1.9740313E+05   1.2809371E+02   2.1303571E+00   1.0651785E+00
     4.9910000E+03   1.1564068E+02   1.9116973E+05   1.2809371E+02   2.1279534E+00   1.0639767E+00
     5.0220000E+03   1.1584163E+02   9.2660971E+05   1.2809371E+02   2.3289058E+00   1.1644529E+00
     5.0520000E+03   1.1581732E+02   8.1535169E+05   1.2809371E+02   2.3045962E+00   1.1522981E+00
     5.0830000E+03   1.1602029E+02   1.9076605E+06   1.2809371E+02   2.5075648E+00   1.2537824E+00
     5.1130000E+03   1.1864732E+02   3.9619966E+07   1.2809371E+02   5.1345924E+00   2.5672962E+00
     5.1440000E+03   1.1877111E+02   4.2266589E+07   1.2809371E+02   5.2583871E+00   2.6291935E+00
     5.1750000E+03   1.1582368E+02   8.4277068E+05   1.2809371E+02   2.3109550E+00   1.1554775E+00
     5.2040000E+03   1.1652288E+02   6.0052709E+06   1.2809371E+02   3.0101563E+00   1.5050781E+00
     5.2350000E+03   1.1633946E+02   4.3027896E+06   1.2809371E+02   2.8267380E+00   1.4133690E+00
     5.2650000E+03   1.1609667E+02   2.4117831E+06   1.2809371E+02   2.5839397E+00   1.2919698E+00
     5.2960000E+03   1.1573316E+02   4.7474945E+05   1.2809371E+02   2.2204372E+00   1.1102186E+00
     5.3260000E+03   1.1575338E+02   5.5031027E+05   1.2809371E+02   2.2406560E+00   1.1203280E+00
     5.3570000E+03   1.1562321E+02   1.4965966E+05   1.2809371E+02   2.1104849E+00   1.0552425E+00
     5.3880000E+03   1.1570133E+02   3.6678931E+05   1.2809371E+02   2.1886024E+00   1.0943012E+00
     5.4180000E+03   1.1565903E+02   2.3923184E+05   1.2809371E+02   2.1463072E+00   1.0731536E+00
     5.4490000E+03   1.1628636E+02   3.8530862E+06   1.2809371E+02   2.7736341E+00   1.3868171E+00
     5.4790000E+03   1.1849752E+02   3.6519647E+07   1.2809371E+02   4.9847972E+00   2.4923986E+00
     5.5100000E+03   1.1637653E+02   4.6240866E+06   1.2809371E+02   2.8638020E+00   1.4319010E+00
     5.5410000E+03   1.1600888E+02   1.8376319E+06   1.2809371E+02   2.4961542E+00   1.2480771E+00
     5.5690000E+03   1.1685549E+02   9.6462726E+06   1.2809371E+02   3.3427652E+00   1.6713826E+00
     5.6000000E+03   1.1700172E+02   1.1465009E+07   1.2809371E+02   3.4889948E+00   1.7444974E+00
     5.6300000E+03   1.1572851E+02   4.5823277E+05   1.2809371E+02   2.2157878E+00   1.1078939E+00
     5.6610000E+03   1.1566119E+02   2.4540656E+05   1.2809371E+02   2.1484651E+00   1.0742325E+00
     5.6910000E+03   1.1563405E+02   1.7522504E+05   1.2809371E+02   2.1213206E+00   1.0606603E+00
     5.7220000E+03   1.1565417E+02   2.2615622E+05   1.2809371E+02   2.1414423E+00   1.0707212E+00
     5.7530000E+03   1.1562486E+02   1.5343374E+05   1.2809371E+02   2.1121299E+00   1.0560650E+00
     5.7830000E+03   1.1593987E+02   1.4300235E+06   1.2809371E+02   2.4271468E+00   1.2135734E+00
     5.8140000E+03   1.1612491E+02   2.6074434E+06   1.2809371E+02   2.6121812E+00   1.3060906E+00
     5.8440000E+03   1.1714011E+02   1.3290491E+07   1.2809371E+02   3.6273783E+00   1.8136892E+00
     5.8750000E+03   1.1691175E+02   1.0326540E+07   1.2809371E+02   3.3990240E+00   1.6995120E+00
     5.9060000E+03   1.1790050E+02   2.5171790E+07   1.2809371E+02   4.3877760E+00   2.1938880E+00
     5.9340000E+03   1.2011694E+02   7.5178951E+07   1.2809371E+02   6.6042143E+00   3.3021071E+00
     5.9650000E+03   1.1748762E+02   1.8358648E+07   1.2809371E+02   3.9748946E+00   1.9874473E+00
     5.9950000E+03   1.1590379E+02   1.2349513E+06   1.2809371E+02   2.3910658E+00   1.1955329E+00
     6.0260000E+03   1.1587249E+02   1.0742156E+06   1.2809371E+02   2.3597625E+00   1.1798813E+00
     6.0560000E+03   1.1561719E+02   1.3625679E+05   1.2809371E+02   2.1044622E+00   1.0522311E+00
     6.0870000E+03   1.1561442E+02   1.3032979E+05   1.2809371E+02   2.1016900E+00   1.0508450E+00
     6.1180000E+03   1.1561512E+02   1.3180122E+05   1.2809371E+02   2.1023931E+00   1.0511966E+00
     6.1480000E+03   1.1610319E+02   2.4551618E+06   1.2809371E+02   2.5904621E+00   1.2952311E+00
     6.1790000E+03   1.1581926E+02   8.2280832E+05   1.2809371E+02   2.3065357E+00   1.1532678E+00
     6.2090000E+03   1.1572001E+02   4.2831084E+05   1.2809371E+02   2.2072784E+00   1.1036392E+00
     6.2400000E+03   1.1636629E+02   4.5337280E+06   1.2809371E+02   2.8535663E+00   1.4267831E+00
     6.2710000E+03   1.1719666E+02   1.4069572E+07   1.2809371E+02   3.6839342E+00   1.8419671E+00
     6.2990000E+03   1.1737811E+02   1.6686112E+07   1.2809371E+02   3.8653838E+00   1.9326919E+00
     6.3300000E+03   1.1707183E+02   1.2374915E+07   1.2809371E+02   3.5591075E+00   1.7795538E+00
     6.3600000E+03   1.1568948E+02   3.2853463E+05   1.2809371E+02   2.1767489E+00   1.0883744E+00
     6.3910000E+03   1.1566354E+02   2.5228221E+05   1.2809371E+02   2.1508099E+00   1.0754050E+00
     6.4210000E+03   1.1565241E+02   2.2137955E+05   1.2809371E+02   2.1396792E+00   1.0698396E+00
     6.4520000E+03   1.1560861E+02   1.1813690E+05   1.2809371E+02   2.0958820E+00   1.0479410E+00
     6.4830000E+03   1.1561339E+02   1.2810463E+05   1.2809371E+02   2.1006599E+00   1.0503300E+00
     6.5130000E+03   1.1561453E+02   1.3048681E+05   1.2809371E+02   2.1017993E+00   1.0508996E+00
     6.5440000E+03   1.1607424E+02   2.2592530E+06   1.2809371E+02   2.5615086E+00   1.2807543E+00
     6.5740000E+03   1.1685058E+02   9.5934896E+06   1.2809371E+02   3.3378560E+00   1.6689280E+00
     6.6050000E+03   1.1822014E+02   3.1041805E+07   1.2809371E+02   4.7074142E+00   2.3537071E+00
     6.6360000E+03   1.1780238E+02   2.3474318E+07   1.2809371E+02   4.2896539E+00   2.1448269E+00
     6.6650000E+03   1.1577555E+02   6.3732272E+05   1.2809371E+02   2.2628206E+00   1.1314103E+00
     6.6960000E+03   1.1568236E+02   3.0667109E+05   1.2809371E+02   2.1696350E+00   1.0848175E+00
     6.7260000E+03   1.1622207E+02   3.3334733E+06   1.2809371E+02   2.7093442E+00   1.3546721E+00
     6.7570000E+03   1.1592422E+02   1.3456773E+06   1.2809371E+02   2.4114969E+00   1.2057485E+00
     6.7870000E+03   1.1576519E+02   5.9563504E+05   1.2809371E+02   2.2524597E+00   1.1262299E+00
     6.8180000E+03   1.1560816E+02   1.1723089E+05   1.2809371E+02   2.0954372E+00   1.0477186E+00
     6.8490000E+03   1.1561454E+02   1.3059323E+05   1.2809371E+02   2.1018142E+00   1.0509071E+00
     6.8790000E+03   1.1561317E+02   1.2759112E+05   1.2809371E+02   2.1004383E+00   1.0502192E+00
     6.9100000E+03   1.1571177E+02   4.0058785E+05   1.2809371E+02   2.1990394E+00   1.0995197E+00
     6.9400000E+03   1.1734465E+02   1.6186428E+07   1.2809371E+02   3.8319246E+00   1.9159623E+00
