         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT        WEL_V1_IN       WEL_V1_OUT           GHB_IN          GHB_OUT           RCH_IN          RCH_OUT           DRT_IN          DRT_OUT           SFR_IN          SFR_OUT          MNW2_IN         MNW2_OUT     FMP_WELLS_IN    FMP_WELLS_OUT       FMP_FNR_IN      FMP_FNR_OUT         IN_OUT  PERCENT_ERROR
1972-01-01T00:00:00    26     1           31.0          792.0     5.4587926E+8     5.5862065E+8              0.0              0.0     1.1489827E+7     102031.93880        265.84845              0.0      30088.06470              0.0              0.0       5132.80947     284098.48901     182759.35366    1.8676141E-10    2.0061072E-10              0.0              0.0     6.0508794E+6     4.8238469E+6   5.6767464E-4  1.0069895E-10
1972-02-01T00:00:00    27     1           29.0          821.0     5.4450188E+8     5.5496655E+8              0.0              0.0     1.3263570E+7     104706.37580        265.84816              0.0      30088.06470              0.0              0.0       5155.80236     277052.64895     176345.60457    1.9435840E-10    1.4854687E-10              0.0     118303.53729     6.1614412E+6     8.8632322E+6      0.0034280  6.0754590E-10
1972-03-01T00:00:00    28     1           31.0          852.0     5.7096831E+8     5.3974299E+8              0.0              0.0              0.0     102031.93880        265.84785              0.0      30088.06470              0.0              0.0       5169.07297     171904.95333     251346.30605    1.7680102E-10    1.2405947E-10              0.0     5.9253290E+6     2.2983722E+6     2.7442084E+7      0.0033011  5.7564471E-10
1972-04-01T00:00:00    29     1           30.0          882.0     5.5895030E+8     5.4193378E+8              0.0              0.0        559.72346     111051.38280        265.84755              0.0      30088.06470              0.0              0.0       5186.91775     218488.39911     210647.86687    1.7669793E-10    1.5987798E-10              0.0     2.0883908E+6     3.6430852E+6     1.8493731E+7      0.0086334   1.5338875E-9
1972-05-01T00:00:00    30     1           31.0          913.0     5.6713241E+8     5.3306024E+8              0.0              0.0              0.0     128349.88080        265.84724              0.0      30088.06470              0.0              0.0       5198.51528     141917.09621     296229.61596    2.1787696E-10    1.6899030E-10              0.0     4.6460223E+6     999356.84173     3.0167998E+7      0.0652255   1.1477216E-8
1972-06-01T00:00:00    31     1           30.0          943.0     5.6410115E+8     5.2902174E+8              0.0              0.0              0.0     147942.89480        265.84694              0.0      30088.06470              0.0              0.0       5208.30490     147283.12699     291690.51960    1.8684089E-10    1.3344297E-10              0.0     1.4738675E+6     557627.10229     3.3895960E+7      0.3305051   5.8513425E-8
1972-07-01T00:00:00    32     1           31.0          974.0     5.9496730E+8     5.1123148E+8              0.0              0.0              0.0     156353.77280        265.84663              0.0      30088.06470              0.0              0.0       5197.28231     118574.15994     303633.89975    2.4909788E-10    7.9473131E-11              0.0     3.7009796E+6     632666.48043     8.0351253E+7      0.7865222   1.3202243E-7
1972-08-01T00:00:00    33     1           31.0         1005.0     5.8549571E+8     5.1198792E+8              0.0              0.0              0.0     156793.82180        265.84632              0.0      30088.06470              0.0              0.0       5191.20582     138067.79170     300351.53514    1.6221596E-10    1.2905389E-10              0.0     3.5591722E+6     686009.39100     7.0340714E+7      3.0696234   5.2351371E-7
1972-09-01T00:00:00    34     1           30.0         1035.0     5.6854473E+8     5.1601055E+8              0.0              0.0              0.0     150670.02280        265.84601              0.0      30088.06470              0.0              0.0       5193.96978     182758.31190     255853.08720    1.6343758E-10    1.7555440E-10              0.0     1.2281329E+6     1.5993371E+6     5.2706787E+7      0.2716292   4.7624405E-8
1972-10-01T00:00:00    35     1           31.0         1066.0     5.4803174E+8     5.2579515E+8              0.0              0.0     633491.99763     130329.13880        265.84570              0.0      30088.06470              0.0              0.0       5209.49885     303669.09421     190368.59199    1.7676567E-10    1.6167968E-10              0.0        437.46508     7.9282984E+6     3.0806066E+7      0.0031936  5.7343488E-10
1972-11-01T00:00:00    36     1           30.0         1096.0     5.1940500E+8     5.4245920E+8              0.0              0.0     1.4703125E+7     111051.38280        265.84540              0.0      30088.06470              0.0              0.0       5235.76730     544934.45341     135203.69494    1.6362395E-10    1.5182401E-10              0.0              0.0     2.2268758E+7     1.4241473E+7   5.2952766E-4  9.5075968E-11
1972-12-01T00:00:00    37     1           31.0         1127.0     5.1608142E+8     5.3977868E+8              0.0              0.0     1.7205471E+7     102031.93880        265.84508              0.0      30088.06470              0.0              0.0       5264.08822     403114.00792     160356.33758    1.5391785E-10    1.7228383E-10              0.0              0.0     1.2412576E+7     6.0865956E+6      0.0014395  2.6357176E-10
1973-01-01T00:00:00    38     1           31.0         1158.0     4.9524146E+8     5.6152684E+8              0.0              0.0     2.2694384E+7     103091.01080        265.84477              0.0      31026.88537              0.0              0.0       5302.06489     889342.33373     100778.30152    1.8099253E-10    1.4064708E-10              0.0              0.0     4.8182845E+7     5.3033171E+6      0.0015814  2.7889255E-10
1973-02-01T00:00:00    39     1           28.0         1186.0     5.0472509E+8     5.4452476E+8              0.0              0.0     2.2457641E+7     107359.43180        265.84448              0.0      31026.88537              0.0              0.0       5330.45576     615414.05880     130355.34161    1.1497525E-10    2.4513431E-10              0.0              0.0     2.6272648E+7     9.3342769E+6      0.0051408  9.2776792E-10
1973-03-01T00:00:00    40     1           31.0         1217.0     5.2945641E+8     5.2029506E+8              0.0              0.0     7.6669907E+6     103091.01080        265.84417              0.0      31026.88537              0.0              0.0       5351.26580     276739.67181     206223.13024    1.9622956E-10    1.3844351E-10              0.0     1.5567918E+6     5.8902508E+6     2.1155168E+7      0.0074295   1.3674184E-9
